"MLS No","Status","Address","Unit","DOM","City","LP","SP","BT","SqFt","BR","Bth","PB","Gar","GarSp","YrBlt","HOA Fee","Freq","Closing Date","Age","Area","Zip"
"SF421545849","SLD","181 fremont Street","65A","1","SANFRCISCO","$24,000","$24,000","CO","1827","2","2","1",,"0","2018",,,"5/6/2021","3","SF District 9","94123"
"SF487290","SLD","88 Townsend","P136","3","SANFRCISCO","$95,000","$90,000","CO",,"0","0","0",,,,"29",,"11/27/2019",,"SF District 9","94107"
"SF493430","SLD","250 King Street","428","68","SANFRCISCO","$170,049","$170,049","CO",,"1","1","0",,,,"816","M","4/21/2020",,"SF District 9","94107"
"SF490399","SLD","260 King Street","713","32","SANFRCISCO","$182,818","$182,818","CO","814","1","1","0",,,"2004","758","M","2/28/2020",,"SF District 9","94107"
"SF494841","SLD","1335 Filbert Street","101","57","SANFRCISCO","$187,620","$187,620","CO","914","1","1","0",,,"1924","552","M","6/25/2020",,"SF District 8","94109"
"SF491309","SLD","766 Harrison Street","209","112","SANFRCISCO","$188,515","$188,515","CO","276","0","1","0",,,"2008","277","M","2/11/2020",,"SF District 9","94107"
"SF497735","SLD","901 Bayshore Boulevard","308","133","SANFRCISCO","$196,842","$196,842","CO","530","1","1","0",,,"2003","382",,"12/30/2020",,"SF District 10","94124"
"SF482522","SLD","2208 Mission Street","304","85","SANFRCISCO","$201,565","$201,565","CO","1032","2","1","0",,,"2009","603","M","8/13/2019",,"SF District 9","94110"
"SF421531070","SLD","8 Octavia Boulevard","408","155","SANFRCISCO","$227,572","$227,572","CO","385","0","1","0",,"0","2014","555","M","9/20/2021","7","SF District 6","94102"
"SF493074","SLD","1695 18th Street","416","126","SANFRCISCO","$229,682","$229,682","CO","497","0","1","0",,,"1996","363","M","5/8/2020",,"SF District 9","94107"
"SF486132","SLD","550 South Van Ness Avenue","205","26","SANFRCISCO","$232,987","$232,987","CO","540","1","1","0",,,"1992","440",,"12/16/2019",,"SF District 9","94110"
"SF475073","SLD","1695 18th Street","307","79","SANFRCISCO","$234,775","$234,775","CO","636","1","1","0",,,"1996","376",,"4/19/2019",,"SF District 9","94107"
"SF493046","SLD","2701 Van Ness Avenue","206","44","SANFRCISCO","$240,913","$240,913","CO","528","0","1","0",,,"1929","510",,"5/8/2020",,"SF District 7","94109"
