,DOM,LP,SP,BT,SqFt,BR,Bth,Gar,GarSp,YrBlt,HOA_Fee,Freq,Closing_Date,Age,Area,Zip,Accept_Date,Month_Accept_Date,Week_in_month_Accept_Date,Listing_Date,Month_Listing_Date,Week_in_month_Listing_Date
0,17,769000,759000,CO,1257,2,2,Y,2.0,1999.0,341.0,N/A,2019-01-02,19.0,Santa Teresa,95138,2018-12-03,Dec,1,2018-12-16,Dec,3
1,0,750000,750000,TH,1444,2,2,Y,2.0,1979.0,350.0,N/A,2019-01-02,39.0,Berryessa,95131,2018-12-03,Dec,1,2019-01-02,Jan,1
2,7,750000,785000,TH,1655,3,2,Y,2.0,1982.0,445.0,N/A,2019-01-02,36.0,Santa Teresa,95139,2018-12-03,Dec,1,2018-12-26,Dec,4
3,15,674888,723000,SFH,1408,3,3,N/A,0.0,1953.0,0.0,N/A,2019-01-02,65.0,Alum Rock,95127,2018-12-03,Dec,1,2018-12-18,Dec,3
4,51,649000,636000,CO,922,2,2,N/A,0.0,1988.0,460.0,N/A,2019-01-02,30.0,Campbell,95128,2018-12-03,Dec,1,2018-11-12,Nov,2
5,33,938000,925000,TH,1606,3,2,Y,2.0,1980.0,370.0,N/A,2019-01-02,38.0,Campbell,95128,2018-12-03,Dec,1,2018-11-30,Nov,5
6,47,849900,850000,SFH,1400,4,2,Y,2.0,1966.0,0.0,N/A,2019-01-02,52.0,Blossom Valley,95123,2018-12-03,Dec,1,2018-11-16,Nov,3
7,8,899000,915000,SFH,1143,3,2,Y,2.0,1969.0,0.0,N/A,2019-01-02,49.0,Blossom Valley,95123,2018-12-03,Dec,1,2018-12-25,Dec,4
8,7,549000,600000,TH,1234,2,1,Y,2.0,1981.0,284.0,N/A,2019-01-02,37.0,Evergreen,95121,2018-12-03,Dec,1,2018-12-26,Dec,4
9,17,699000,973000,SFH,1310,3,2,Y,1.0,1957.0,0.0,N/A,2019-01-02,61.0,Cambrian,95118,2018-12-03,Dec,1,2018-12-16,Dec,3
10,36,650000,550000,SFH,1056,3,2,Y,2.0,1960.0,0.0,N/A,2019-01-03,58.0,Alum Rock,95127,2018-12-04,Dec,1,2018-11-28,Nov,4
11,20,945000,935000,TH,1740,2,2,Y,2.0,1974.0,438.0,N/A,2019-01-03,44.0,Willow Glen,95125,2018-12-04,Dec,1,2018-12-14,Dec,2
12,33,899000,870000,SFH,1548,3,2,Y,2.0,1976.0,0.0,N/A,2019-01-03,42.0,Blossom Valley,95136,2018-12-04,Dec,1,2018-12-01,Dec,1
13,29,799000,783000,SFH,1745,3,2,N/A,0.0,1957.0,0.0,N/A,2019-01-04,61.0,Alum Rock,95127,2018-12-05,Dec,1,2018-12-06,Dec,1
14,87,579000,561000,CO,1060,2,2,N/A,0.0,1979.0,400.0,N/A,2019-01-04,39.0,Blossom Valley,95123,2018-12-05,Dec,1,2018-10-09,Oct,2
15,58,699000,710000,SFH,1208,3,2,Y,1.0,1920.0,0.0,N/A,2019-01-04,98.0,Central San Jose,95112,2018-12-05,Dec,1,2018-11-07,Nov,1
16,13,689500,700000,TH,1260,3,1,Y,2.0,1984.0,408.0,N/A,2019-01-04,34.0,Blossom Valley,95123,2018-12-05,Dec,1,2018-12-22,Dec,4
17,28,549999,549999,CO,997,2,1,N/A,0.0,1979.0,400.0,N/A,2019-01-04,39.0,Blossom Valley,95123,2018-12-05,Dec,1,2018-12-07,Dec,1
18,26,950000,1005000,TH,1292,2,2,Y,1.0,1972.0,260.0,N/A,2019-01-04,46.0,Campbell,95117,2018-12-05,Dec,1,2018-12-09,Dec,2
19,54,880000,840000,SFH,1545,4,2,Y,2.0,1972.0,0.0,N/A,2019-01-04,46.0,Evergreen,95122,2018-12-05,Dec,1,2018-11-11,Nov,2
20,8,549888,585888,TH,1050,3,1,Y,2.0,1972.0,360.0,N/A,2019-01-04,46.0,Berryessa,95133,2018-12-05,Dec,1,2018-12-27,Dec,4
21,6,675000,700000,CO,982,2,2,Y,1.0,1995.0,395.0,N/A,2019-01-04,23.0,Blossom Valley,95123,2018-12-05,Dec,1,2018-12-29,Dec,5
22,13,799000,780000,CO,1760,4,2,Y,2.0,1973.0,445.0,N/A,2019-01-04,45.0,Blossom Valley,95136,2018-12-05,Dec,1,2018-12-22,Dec,4
23,27,649999,648000,SFH,1061,3,1,Y,2.0,1976.0,0.0,N/A,2019-01-04,42.0,South San Jose,95122,2018-12-05,Dec,1,2018-12-08,Dec,2
24,24,829000,810000,SFH,1396,3,2,Y,2.0,1976.0,0.0,N/A,2019-01-06,42.0,Blossom Valley,95123,2018-12-07,Dec,1,2018-12-13,Dec,2
25,12,689000,700000,TH,966,2,2,N/A,0.0,1987.0,375.0,N/A,2019-01-07,31.0,Berryessa,95132,2018-12-08,Dec,2,2018-12-26,Dec,4
26,35,698000,730000,SFH,1659,4,2,Y,2.0,1961.0,0.0,N/A,2019-01-07,57.0,Alum Rock,95127,2018-12-08,Dec,2,2018-12-03,Dec,1
27,50,445000,446000,CO,911,2,1,Y,1.0,1988.0,390.0,N/A,2019-01-07,30.0,Evergreen,95121,2018-12-08,Dec,2,2018-11-18,Nov,3
28,16,438888,440000,CO,798,2,1,Y,1.0,1970.0,300.0,N/A,2019-01-07,48.0,Blossom Valley,95123,2018-12-08,Dec,2,2018-12-22,Dec,4
29,41,749888,745000,SFH,1203,3,2,Y,2.0,1959.0,0.0,N/A,2019-01-08,59.0,Alum Rock,95127,2018-12-09,Dec,2,2018-11-28,Nov,4
30,49,657000,630000,CO,1093,2,2,Y,1.0,1992.0,320.0,N/A,2019-01-08,26.0,Santa Teresa,95138,2018-12-09,Dec,2,2018-11-20,Nov,3
31,40,849000,815000,SFH,1173,3,2,Y,2.0,1965.0,0.0,N/A,2019-01-08,53.0,Blossom Valley,95123,2018-12-09,Dec,2,2018-11-29,Nov,5
32,58,888000,860000,TH,1929,4,3,Y,2.0,2010.0,255.0,N/A,2019-01-08,8.0,South San Jose,95111,2018-12-09,Dec,2,2018-11-11,Nov,2
33,30,900000,890000,SFH,1811,4,2,Y,2.0,1999.0,50.0,N/A,2019-01-08,19.0,South San Jose,95111,2018-12-09,Dec,2,2018-12-09,Dec,2
34,34,649950,580000,SFH,850,2,1,N/A,0.0,1948.0,0.0,N/A,2019-01-08,70.0,Alum Rock,95127,2018-12-09,Dec,2,2018-12-05,Dec,1
35,21,825000,825000,SFH,1224,3,2,Y,2.0,1924.0,0.0,N/A,2019-01-08,94.0,Central San Jose,95112,2018-12-09,Dec,2,2018-12-18,Dec,3
36,25,899999,920000,SFH,1556,4,2,Y,2.0,1978.0,0.0,N/A,2019-01-08,40.0,Santa Teresa,95139,2018-12-09,Dec,2,2018-12-14,Dec,2
